%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
400520854,0,400520854,camera_init,body,0.26748220053004446,0.005405664586979126,0.005122124688538909,-0.0035608353043057434,0.00024028684953356032,-0.00042244093699147535,0.9999935421080577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500470858,1,500470858,camera_init,body,0.5959210401615659,0.020096731108912493,-0.0038765358843688823,0.00279322815571081,-3.405331126161583e-05,-0.000493513627078862,0.9999959765724763,4.0400322465217187e-07,-9.405273785117256e-09,1.8351290329926767e-08,-5.091776762192418e-08,-5.2904976563517e-07,-1.322308092444567e-07,-9.405273685548903e-09,3.9167211696167215e-09,-2.505690960157423e-10,2.029365794853355e-08,-2.5848254759470654e-09,1.2633501554441817e-07,1.8351291997998915e-08,-2.5056919034224454e-10,5.84692028127165e-09,3.0292573330835404e-08,-1.9518814060003054e-07,9.128158512806787e-09,-5.091776761773645e-08,2.0293607821963988e-08,3.0292780911315986e-08,7.0786258465904695e-06,-1.0193734638635043e-06,1.1324980855420379e-06,-5.290497646637249e-07,-2.5848291106535335e-09,-1.9518811614042952e-07,-1.0193734733090465e-06,1.2266161395269037e-05,-1.1762133579796977e-06,-1.32230809711531e-07,1.2633499257841407e-07,9.12816363352753e-09,1.1324980784045181e-06,-1.176213358308753e-06,6.26378347790002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600083338,2,600083338,camera_init,body,1.0476447698561038,0.020643094791886772,0.0004480387025068857,-0.0020590813742192133,0.0002118530241766714,-0.0006574102366578369,0.9999976415542037,2.470878960655814e-07,-4.303032247716985e-09,1.2722833893114766e-08,3.8207643262802714e-08,-3.4472803033014506e-07,-5.070847333894001e-08,-4.303032247638597e-09,2.7114973314334902e-09,-1.282938496764191e-10,1.988136914077929e-09,-4.9786739267446994e-09,9.479298997807602e-08,1.2722833893074191e-08,-1.2829384969285932e-10,3.800600809876497e-09,9.695765074508122e-09,-1.5315624573781389e-07,5.1430258885426685e-09,3.820764326306276e-08,1.9881369059553066e-09,9.695765074888761e-09,4.898902669497884e-06,-8.049984278748627e-07,5.485737229846993e-07,-3.447280303302036e-07,-4.97867392509079e-09,-1.531562457400625e-07,-8.049984278756531e-07,1.1171798643277303e-05,-9.097202107329411e-07,-5.070847333893044e-08,9.479298997794585e-08,5.143025888785903e-09,5.485737229328671e-07,-9.097202107296576e-07,5.332530392088142e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699870842,3,699870842,camera_init,body,1.480365847621414,0.0029655934233662703,-0.008708978460133238,0.0017286271936590009,-9.10590480343318e-05,-0.0005884211229858639,0.999998328657031,2.648506800162931e-07,-4.083723556093829e-09,8.321586377525735e-09,2.9065767512184378e-08,-2.682443592886844e-07,-2.984570155845438e-08,-4.083723555585794e-09,2.0231939070451286e-09,1.1386411585987403e-10,4.6305815466204296e-09,-9.955247958110762e-09,7.167584252630398e-08,8.321586377579012e-09,1.1386411577155418e-10,2.655270340224064e-09,5.620836556901738e-09,-1.2048499751788677e-07,1.2437170122773151e-08,2.9065767503081467e-08,4.630581511917384e-09,5.620836561980678e-09,3.5984283395877288e-06,-4.812318582120127e-07,4.910985132063053e-07,-2.682443592906129e-07,-9.955247951892033e-09,-1.204849975160406e-07,-4.812318584569725e-07,1.0115536528292552e-05,-1.1707428520650878e-06,-2.984570155875827e-08,7.167584252396478e-08,1.2437170123532776e-08,4.910985130686489e-07,-1.1707428520907804e-06,4.512466055306384e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
799445857,4,799445857,camera_init,body,1.8809719027678355,-0.008801466611993684,-0.016474127055937697,0.0025309812579894274,-8.714669735655665e-05,-0.0006615195642059393,0.9999965744597277,2.400221864733729e-07,-6.089931702418125e-09,7.757535802866479e-09,4.909830839520749e-08,-1.88843277755619e-07,-4.739976766995298e-08,-6.089931702127813e-09,2.0020200539486535e-09,1.799343841415487e-11,2.5483247007492337e-09,-6.11972950747437e-09,6.079607675435952e-08,7.757535802983712e-09,1.799343837137017e-11,2.3882919502195114e-09,3.4580247178838217e-09,-1.0069935314127615e-07,7.3901993630267465e-09,4.909830838683092e-08,2.5483247123119746e-09,3.4580247143119173e-09,3.0611844174978048e-06,-3.259615507981314e-07,3.473046567178492e-07,-1.888432777611819e-07,-6.119729505695282e-09,-1.006993531424369e-07,-3.2596155110388955e-07,8.976116315927119e-06,-7.719411412470044e-07,-4.7399767671840087e-08,6.079607675246355e-08,7.390199363743411e-09,3.4730465654687136e-07,-7.719411412824078e-07,3.7582477177591288e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
899208354,5,899208354,camera_init,body,2.261938682655975,-0.013957185091719875,-0.022912978701618743,0.0011390437723218566,0.00011415970364647885,-0.0010038197158912829,0.9999988409457397,2.310247792297257e-07,-1.899541261575159e-09,6.913146867238425e-09,3.614221374475817e-08,-1.8310304205407714e-07,7.299376200891948e-09,-1.899541261589945e-09,1.6676400101667808e-09,1.4007326778415545e-10,3.7818331317317585e-09,-8.323491484548781e-09,5.1503016434611864e-08,6.913146867419188e-09,1.400732677761203e-10,2.278662325159704e-09,2.0625201406550276e-09,-9.133595565439632e-08,8.021193334508046e-09,3.614221374061779e-08,3.781833133226348e-09,2.062520138622372e-09,2.4795517225495846e-06,-2.854361983084465e-07,2.935943578681645e-07,-1.8310304205620669e-07,-8.323491484131823e-09,-9.133595565284374e-08,-2.854361984786573e-07,7.957023589027624e-06,-7.342118326009136e-07,7.299376200155254e-09,5.150301643451415e-08,8.02119333456409e-09,2.9359435778085363e-07,-7.342118326169402e-07,3.1467839512937053e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
999345851,6,999345851,camera_init,body,2.6185133708869275,-0.02084391885103059,-0.03242262887278409,-0.0003114642583576265,-4.6541096797168344e-05,-0.0012326658965309217,0.999999190679036,1.9386463457785286e-07,-4.53955646590045e-09,6.468001361915388e-09,2.2623787692799947e-08,-1.949503775432247e-07,-3.272997248896738e-08,-4.539556465927473e-09,1.7534592061478876e-09,-1.4899136181229185e-10,3.824349387566692e-09,-1.6563519605723995e-09,5.258002608664639e-08,6.468001361738135e-09,-1.4899136181394352e-10,2.32681679270154e-09,5.453611947212027e-09,-9.410240509127187e-08,3.6537121905520457e-09,2.2623787690784783e-08,3.8243493879549505e-09,5.453611946459636e-09,2.172793000143648e-06,-3.459591828508076e-07,2.9360371092790844e-07,-1.9495037754372816e-07,-1.6563519599771868e-09,-9.410240509173521e-08,-3.4595918290916886e-07,7.577575376920273e-06,-6.859901917929968e-07,-3.272997248919322e-08,5.258002608520417e-08,3.6537121906331623e-09,2.9360371090064494e-07,-6.859901917940949e-07,3.0311916605784046e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098858348,7,1098858348,camera_init,body,2.9663038751854027,-0.026881201039750776,-0.03224638341119294,-0.00016951240145432814,4.1911036093500976e-05,-0.0012278867445940649,0.9999992309012797,2.1323531805737751e-07,-3.529842660617555e-09,5.934056612265683e-09,1.0521339272513069e-08,-1.7153787568513735e-07,-1.7211615798529897e-08,-3.529842660612222e-09,1.6593768257050175e-09,-2.488354423937229e-11,2.6608077218883965e-09,-3.2099750972271568e-09,4.857113956297527e-08,5.934056612238994e-09,-2.4883544234854463e-11,2.093648328211912e-09,3.2521282256827506e-09,-8.483709509097585e-08,5.188850859702242e-09,1.0521339272441412e-08,2.660807722015663e-09,3.2521282257049207e-09,2.100601391212619e-06,-3.1542787353364084e-07,2.440737509656665e-07,-1.7153787568510199e-07,-3.2099750975001756e-09,-8.483709509108511e-08,-3.154278735360024e-07,7.079752552660334e-06,-6.304090827753355e-07,-1.7211615798598335e-08,4.8571139564166605e-08,5.188850859559667e-09,2.4407375096466733e-07,-6.304090827730285e-07,2.9270628223326226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1199545863,8,1199545863,camera_init,body,3.3273796309509036,-0.03537228599875331,-0.035077355501345366,0.001059275352053844,2.0088665308978805e-05,-0.0014801454663691726,0.9999983433494128,2.1361770617308993e-07,-5.592189126500508e-09,5.789099367847795e-09,1.9406915190341584e-08,-1.7773400055396632e-07,-5.4246758922895896e-08,-5.592189126510527e-09,1.9235129194734163e-09,-5.885897643887344e-11,-1.4390277838918382e-09,-9.001023448339578e-10,5.363363140487487e-08,5.789099367941247e-09,-5.885897645095247e-11,2.138275133399623e-09,2.8003187672876667e-09,-8.805268389501685e-08,4.6161445863483455e-09,1.94069151906769e-08,-1.4390277711975672e-09,2.800318765199275e-09,2.093631639461709e-06,-1.6619780088840416e-07,1.2204587734325829e-07,-1.7773400055393021e-07,-9.001023436685447e-10,-8.805268389221762e-08,-1.661978008838963e-07,7.4626134962177495e-06,-6.4123092298243e-07,-5.424675892294137e-08,5.363363140307111e-08,4.616144586130732e-09,1.2204587734267235e-07,-6.412309229814502e-07,2.941591806922103e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299233340,9,1299233340,camera_init,body,3.6865623132447727,-0.03850188849452371,-0.04436172389151836,0.000349886843610282,-0.00014291464209061978,-0.0016195895916633627,0.9999986170411208,1.956965453919223e-07,-4.499797689422785e-09,5.015556252198225e-09,2.1154820115197485e-08,-1.9536639519673847e-07,-3.076590301495865e-08,-4.499797689464255e-09,1.715697636092944e-09,3.881862107557536e-11,4.911747201655033e-09,-5.095164489744471e-09,4.9310947468247936e-08,5.015556252085664e-09,3.881862106698713e-11,1.7134716298890349e-09,2.3071501544225554e-09,-7.783539887505388e-08,7.0315369680533725e-09,2.1154820114899776e-08,4.9117472015196136e-09,2.307150154383301e-09,1.9020660103575412e-06,-1.7005067736299098e-07,2.3579188773627845e-07,-1.9536639519676918e-07,-5.095164488763163e-09,-7.783539887602374e-08,-1.700506773687225e-07,7.050634708301657e-06,-7.61284855624226e-07,-3.076590301504281e-08,4.9310947465000697e-08,7.0315369685311694e-09,2.3579188773030292e-07,-7.612848556255179e-07,2.8588323200682353e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
